operator;material_percentage;stars;elite;skill_level;s1_mastery;s2_mastery;s3_mastery;skill_upgrade_resources;elite1_resources;elite2_resources;elite_resources;mastery_resources;total_resources;spent_resources;needed_resources;needed_material_quantity;total_material_quantity
Bagpipe;57.45;6;2;7;0;0;3;"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
4x Polyketon
5x Orirock Cube
6x Oriron Cluster
8x Skill Summary - 3
5x Loxic Kohl
4x Aketon";"30000x LMD
5x Vanguard Chip
10x Polyester
3x Polyketon";"180000x LMD
4x Vanguard Dualchip
4x Polymerization Preparation
9x Orirock Concentration";"210000x LMD
5x Vanguard Chip
10x Polyester
3x Polyketon
4x Vanguard Dualchip
4x Polymerization Preparation
9x Orirock Concentration";"105x Skill Summary - 3
11x White Horse Kohl
8x Aketon
12x RMA70-24
11x Manganese Trihydrate
12x Bipolar Nanoflake
5x Keton Colloid
4x Integrated Device
4x Incandescent Alloy Block
6x D32 Steel
4x Grindstone Pentahydrate
7x Loxic Kohl
4x Polymerized Gel
10x Orirock Concentration
4x Oriron Block";"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
7x Polyketon
5x Orirock Cube
6x Oriron Cluster
113x Skill Summary - 3
12x Loxic Kohl
12x Aketon
210000x LMD
5x Vanguard Chip
10x Polyester
4x Vanguard Dualchip
4x Polymerization Preparation
19x Orirock Concentration
11x White Horse Kohl
12x RMA70-24
11x Manganese Trihydrate
12x Bipolar Nanoflake
5x Keton Colloid
4x Integrated Device
4x Incandescent Alloy Block
6x D32 Steel
4x Grindstone Pentahydrate
4x Polymerized Gel
4x Oriron Block";"10x Skill Summary - 1
6x Ester
4x Oriron Shard
24x Skill Summary - 2
4x Oriron
7x Polyketon
5x Orirock Cube
6x Oriron Cluster
43x Skill Summary - 3
12x Loxic Kohl
4x Aketon
210000x LMD
5x Vanguard Chip
10x Polyester
4x Vanguard Dualchip
4x Polymerization Preparation
19x Orirock Concentration
4x Grindstone Pentahydrate
4x Polymerized Gel
6x Bipolar Nanoflake
4x Oriron Block";"70x Skill Summary - 3
8x Aketon
11x White Horse Kohl
12x RMA70-24
11x Manganese Trihydrate
6x Bipolar Nanoflake
5x Keton Colloid
4x Integrated Device
4x Incandescent Alloy Block
6x D32 Steel";137;322
Ash;32.25;6;1;7;0;0;0;"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
4x Oriron
3x Sugar
6x Crystalline Component
8x Skill Summary - 3
5x Orirock Cluster
4x Integrated Device";"30000x LMD
5x Sniper Chip
11x Orirock Cube
5x Oriron";"180000x LMD
4x Sniper Dualchip
4x D32 Steel
6x Polymerized Gel";"210000x LMD
5x Sniper Chip
11x Orirock Cube
5x Oriron
4x Sniper Dualchip
4x D32 Steel
6x Polymerized Gel";"105x Skill Summary - 3
4x Oriron Block
4x Incandescent Alloy
11x Manganese Trihydrate
12x Optimized Device
6x D32 Steel
10x Grindstone Pentahydrate
9x Keton Colloid
4x Coagulating Gel
9x White Horse Kohl
6x Crystalline Electroassembly
4x Oriron Cluster
4x RMA70-24
6x Bipolar Nanoflake";"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
9x Oriron
3x Sugar
6x Crystalline Component
113x Skill Summary - 3
5x Orirock Cluster
4x Integrated Device
210000x LMD
5x Sniper Chip
11x Orirock Cube
4x Sniper Dualchip
10x D32 Steel
6x Polymerized Gel
4x Oriron Block
4x Incandescent Alloy
11x Manganese Trihydrate
12x Optimized Device
10x Grindstone Pentahydrate
9x Keton Colloid
4x Coagulating Gel
9x White Horse Kohl
6x Crystalline Electroassembly
4x Oriron Cluster
4x RMA70-24
6x Bipolar Nanoflake";"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
9x Oriron
3x Sugar
6x Crystalline Component
8x Skill Summary - 3
5x Orirock Cluster
4x Integrated Device
30000x LMD
5x Sniper Chip
11x Orirock Cube";"105x Skill Summary - 3
180000x LMD
4x Sniper Dualchip
10x D32 Steel
6x Polymerized Gel
4x Oriron Block
4x Incandescent Alloy
11x Manganese Trihydrate
12x Optimized Device
10x Grindstone Pentahydrate
9x Keton Colloid
4x Coagulating Gel
9x White Horse Kohl
6x Crystalline Electroassembly
4x Oriron Cluster
4x RMA70-24
6x Bipolar Nanoflake";208;307
Archetto;35.46;6;2;7;0;0;0;"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
6x Manganese Ore
8x Skill Summary - 3
4x Grindstone
5x Orirock Cluster";"30000x LMD
5x Sniper Chip
7x Oriron
5x Sugar";"180000x LMD
4x Sniper Dualchip
4x Polymerization Preparation
8x Orirock Concentration";"210000x LMD
5x Sniper Chip
7x Oriron
5x Sugar
4x Sniper Dualchip
4x Polymerization Preparation
8x Orirock Concentration";"105x Skill Summary - 3
3x Optimized Device
4x Oriron Cluster
13x RMA70-24
11x Manganese Trihydrate
6x Polymerization Preparation
11x White Horse Kohl
8x Aketon
4x Crystalline Circuit
8x Polymerized Gel
6x D32 Steel
4x Integrated Device
4x Orirock Concentration
9x Grindstone Pentahydrate
6x Crystalline Electroassembly";"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
6x Manganese Ore
113x Skill Summary - 3
4x Grindstone
5x Orirock Cluster
210000x LMD
5x Sniper Chip
7x Oriron
5x Sugar
4x Sniper Dualchip
10x Polymerization Preparation
12x Orirock Concentration
3x Optimized Device
4x Oriron Cluster
13x RMA70-24
11x Manganese Trihydrate
11x White Horse Kohl
8x Aketon
4x Crystalline Circuit
8x Polymerized Gel
6x D32 Steel
4x Integrated Device
9x Grindstone Pentahydrate
6x Crystalline Electroassembly";"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
6x Manganese Ore
8x Skill Summary - 3
4x Grindstone
5x Orirock Cluster
210000x LMD
5x Sniper Chip
7x Oriron
5x Sugar
4x Sniper Dualchip
4x Polymerization Preparation
8x Orirock Concentration";"105x Skill Summary - 3
6x Polymerization Preparation
4x Orirock Concentration
3x Optimized Device
4x Oriron Cluster
13x RMA70-24
11x Manganese Trihydrate
11x White Horse Kohl
8x Aketon
4x Crystalline Circuit
8x Polymerized Gel
6x D32 Steel
4x Integrated Device
9x Grindstone Pentahydrate
6x Crystalline Electroassembly";202;313
Angelina;47.39;6;2;7;2;0;0;"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
6x Oriron Cluster
8x Skill Summary - 3
3x Aketon
6x Loxic Kohl";"30000x LMD
5x Supporter Chip
7x Polyketon
4x Sugar";"180000x LMD
4x Supporter Dualchip
4x Bipolar Nanoflake
5x Sugar Lump";"210000x LMD
5x Supporter Chip
7x Polyketon
4x Sugar
4x Supporter Dualchip
4x Bipolar Nanoflake
5x Sugar Lump";"99x Skill Summary - 3
3x Optimized Device
4x Oriron Cluster
13x Grindstone Pentahydrate
20x White Horse Kohl
6x Bipolar Nanoflake
11x Sugar Lump
8x Aketon
4x RMA70-24
11x Manganese Trihydrate
12x Polymerization Preparation
4x Integrated Device
4x Orirock Concentration";"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
10x Oriron Cluster
107x Skill Summary - 3
11x Aketon
6x Loxic Kohl
210000x LMD
5x Supporter Chip
7x Polyketon
4x Sugar
4x Supporter Dualchip
10x Bipolar Nanoflake
16x Sugar Lump
3x Optimized Device
13x Grindstone Pentahydrate
20x White Horse Kohl
4x RMA70-24
11x Manganese Trihydrate
12x Polymerization Preparation
4x Integrated Device
4x Orirock Concentration";"10x Skill Summary - 1
6x Diketon
4x Orirock
24x Skill Summary - 2
6x Device
5x Orirock Cube
10x Oriron Cluster
26x Skill Summary - 3
3x Aketon
6x Loxic Kohl
210000x LMD
5x Supporter Chip
7x Polyketon
4x Sugar
4x Supporter Dualchip
4x Bipolar Nanoflake
5x Sugar Lump
3x Optimized Device
4x Grindstone Pentahydrate
9x White Horse Kohl";"81x Skill Summary - 3
8x Aketon
6x Bipolar Nanoflake
11x Sugar Lump
9x Grindstone Pentahydrate
11x White Horse Kohl
4x RMA70-24
11x Manganese Trihydrate
12x Polymerization Preparation
4x Integrated Device
4x Orirock Concentration";161;306
Aak;30.19;6;1;7;0;0;0;"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
4x Oriron
3x Sugar
6x Incandescent Alloy
8x Skill Summary - 3
3x Aketon
6x Loxic Kohl";"30000x LMD
5x Specialist Chip
8x Sugar
5x Oriron";"180000x LMD
4x Specialist Dualchip
4x D32 Steel
7x Polymerized Gel";"210000x LMD
5x Specialist Chip
8x Sugar
5x Oriron
4x Specialist Dualchip
4x D32 Steel
7x Polymerized Gel";"105x Skill Summary - 3
10x Polymerized Gel
11x Orirock Cluster
4x Grindstone Pentahydrate
9x White Horse Kohl
6x Polymerization Preparation
15x Incandescent Alloy Block
4x Oriron Block
4x Incandescent Alloy
12x RMA70-24
7x Manganese Trihydrate
6x D32 Steel
4x Keton Colloid
4x Coagulating Gel
6x Bipolar Nanoflake";"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
9x Oriron
11x Sugar
10x Incandescent Alloy
113x Skill Summary - 3
3x Aketon
6x Loxic Kohl
210000x LMD
5x Specialist Chip
4x Specialist Dualchip
10x D32 Steel
17x Polymerized Gel
11x Orirock Cluster
4x Grindstone Pentahydrate
9x White Horse Kohl
6x Polymerization Preparation
15x Incandescent Alloy Block
4x Oriron Block
12x RMA70-24
7x Manganese Trihydrate
4x Keton Colloid
4x Coagulating Gel
6x Bipolar Nanoflake";"10x Skill Summary - 1
5x Sugar Substitute
4x Diketon
24x Skill Summary - 2
5x Polyester
9x Oriron
11x Sugar
6x Incandescent Alloy
8x Skill Summary - 3
3x Aketon
6x Loxic Kohl
30000x LMD
5x Specialist Chip";"4x Incandescent Alloy
105x Skill Summary - 3
180000x LMD
4x Specialist Dualchip
10x D32 Steel
17x Polymerized Gel
11x Orirock Cluster
4x Grindstone Pentahydrate
9x White Horse Kohl
6x Polymerization Preparation
15x Incandescent Alloy Block
4x Oriron Block
12x RMA70-24
7x Manganese Trihydrate
4x Keton Colloid
4x Coagulating Gel
6x Bipolar Nanoflake";222;318
Zima;37.71;5;1;7;0;0;0;"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
3x Polyester
4x Oriron
4x Aketon
6x Skill Summary - 3
2x Integrated Device
3x Sugar Pack";"20000x LMD
4x Vanguard Chip
4x Sugar
3x Polyester";"120000x LMD
3x Vanguard Dualchip
7x Sugar Lump
11x RMA70-12";"140000x LMD
4x Vanguard Chip
4x Sugar
3x Polyester
3x Vanguard Dualchip
7x Sugar Lump
11x RMA70-12";"42x Skill Summary - 3
9x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
4x Orirock Concentration
8x Manganese Trihydrate
2x Integrated Device
3x RMA70-24
4x D32 Steel
4x Polyester Lump";"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
6x Polyester
4x Oriron
9x Aketon
48x Skill Summary - 3
4x Integrated Device
3x Sugar Pack
140000x LMD
4x Vanguard Chip
4x Sugar
3x Vanguard Dualchip
7x Sugar Lump
11x RMA70-12
9x White Horse Kohl
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
4x Orirock Concentration
8x Manganese Trihydrate
3x RMA70-24
4x D32 Steel
4x Polyester Lump";"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
6x Polyester
4x Oriron
4x Aketon
6x Skill Summary - 3
2x Integrated Device
3x Sugar Pack
20000x LMD
4x Vanguard Chip
4x Sugar";"5x Aketon
42x Skill Summary - 3
2x Integrated Device
120000x LMD
3x Vanguard Dualchip
7x Sugar Lump
11x RMA70-12
9x White Horse Kohl
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
4x Orirock Concentration
8x Manganese Trihydrate
3x RMA70-24
4x D32 Steel
4x Polyester Lump";109;175
Whisperain;37.91;5;1;7;0;0;0;"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
3x Polyester
4x Oriron
4x Aketon
6x Skill Summary - 3
2x Integrated Device
3x Coagulating Gel";"20000x LMD
4x Medic Chip
8x Orirock Cube
2x Sugar";"120000x LMD
3x Medic Dualchip
9x Orirock Concentration
13x Crystalline Component";"140000x LMD
4x Medic Chip
8x Orirock Cube
2x Sugar
3x Medic Dualchip
9x Orirock Concentration
13x Crystalline Component";"42x Skill Summary - 3
3x Manganese Trihydrate
2x Integrated Device
10x Orirock Concentration
9x Grindstone Pentahydrate
4x Bipolar Nanoflake
3x Crystalline Circuit
4x Loxic Kohl
3x Polymerized Gel
4x Polymerization Preparation
4x Incandescent Alloy Block";"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
3x Polyester
4x Oriron
4x Aketon
48x Skill Summary - 3
4x Integrated Device
3x Coagulating Gel
140000x LMD
4x Medic Chip
8x Orirock Cube
2x Sugar
3x Medic Dualchip
19x Orirock Concentration
13x Crystalline Component
3x Manganese Trihydrate
9x Grindstone Pentahydrate
4x Bipolar Nanoflake
3x Crystalline Circuit
4x Loxic Kohl
3x Polymerized Gel
4x Polymerization Preparation
4x Incandescent Alloy Block";"8x Skill Summary - 1
7x Sugar Substitute
18x Skill Summary - 2
3x Polyester
4x Oriron
4x Aketon
6x Skill Summary - 3
2x Integrated Device
3x Coagulating Gel
20000x LMD
4x Medic Chip
8x Orirock Cube
2x Sugar";"42x Skill Summary - 3
2x Integrated Device
120000x LMD
3x Medic Dualchip
19x Orirock Concentration
13x Crystalline Component
3x Manganese Trihydrate
9x Grindstone Pentahydrate
4x Bipolar Nanoflake
3x Crystalline Circuit
4x Loxic Kohl
3x Polymerized Gel
4x Polymerization Preparation
4x Incandescent Alloy Block";113;182
Whislash;37.57;5;1;7;0;0;0;"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyester
3x Device
4x Manganese Ore
6x Skill Summary - 3
2x Oriron Cluster
3x Grindstone";"20000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon";"120000x LMD
3x Guard Dualchip
7x Keton Colloid
12x Coagulating Gel";"140000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon
3x Guard Dualchip
7x Keton Colloid
12x Coagulating Gel";"42x Skill Summary - 3
3x RMA70-24
2x Manganese Ore
8x Oriron Block
5x Incandescent Alloy Block
4x D32 Steel
5x Optimized Device
3x Polymerized Gel
6x Orirock Cluster
4x Polymerization Preparation
4x Manganese Trihydrate";"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyester
3x Device
6x Manganese Ore
48x Skill Summary - 3
2x Oriron Cluster
3x Grindstone
140000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon
3x Guard Dualchip
7x Keton Colloid
12x Coagulating Gel
3x RMA70-24
8x Oriron Block
5x Incandescent Alloy Block
4x D32 Steel
5x Optimized Device
3x Polymerized Gel
6x Orirock Cluster
4x Polymerization Preparation
4x Manganese Trihydrate";"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyester
3x Device
4x Manganese Ore
6x Skill Summary - 3
2x Oriron Cluster
3x Grindstone
20000x LMD
4x Guard Chip
6x Orirock Cube
3x Polyketon";"2x Manganese Ore
42x Skill Summary - 3
120000x LMD
3x Guard Dualchip
7x Keton Colloid
12x Coagulating Gel
3x RMA70-24
8x Oriron Block
5x Incandescent Alloy Block
4x D32 Steel
5x Optimized Device
3x Polymerized Gel
6x Orirock Cluster
4x Polymerization Preparation
4x Manganese Trihydrate";108;173
Warfarin;37.29;5;1;7;0;0;0;"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
2x Device
8x Orirock Cube
3x RMA70-12
6x Skill Summary - 3
4x Orirock Cluster
2x Integrated Device";"20000x LMD
4x Medic Chip
4x Polyketon
2x Sugar";"120000x LMD
3x Medic Dualchip
5x Optimized Device
17x Sugar Pack";"140000x LMD
4x Medic Chip
4x Polyketon
2x Sugar
3x Medic Dualchip
5x Optimized Device
17x Sugar Pack";"42x Skill Summary - 3
8x Sugar Lump
3x RMA70-12
3x Oriron Block
4x Bipolar Nanoflake
4x Grindstone Pentahydrate
8x Polyester Lump
4x Orirock Cluster
3x Keton Colloid
4x D32 Steel
3x Optimized Device";"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
2x Device
8x Orirock Cube
6x RMA70-12
48x Skill Summary - 3
8x Orirock Cluster
2x Integrated Device
140000x LMD
4x Medic Chip
4x Polyketon
2x Sugar
3x Medic Dualchip
8x Optimized Device
17x Sugar Pack
8x Sugar Lump
3x Oriron Block
4x Bipolar Nanoflake
4x Grindstone Pentahydrate
8x Polyester Lump
3x Keton Colloid
4x D32 Steel";"8x Skill Summary - 1
5x Diketon
18x Skill Summary - 2
2x Device
8x Orirock Cube
3x RMA70-12
6x Skill Summary - 3
4x Orirock Cluster
2x Integrated Device
20000x LMD
4x Medic Chip
4x Polyketon
2x Sugar";"3x RMA70-12
42x Skill Summary - 3
4x Orirock Cluster
120000x LMD
3x Medic Dualchip
8x Optimized Device
17x Sugar Pack
8x Sugar Lump
3x Oriron Block
4x Bipolar Nanoflake
4x Grindstone Pentahydrate
8x Polyester Lump
3x Keton Colloid
4x D32 Steel";111;177
Waai Fu;13.87;5;1;3;0;0;0;"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyketon
3x Device
5x Polyester Pack
6x Skill Summary - 3
2x Oriron Cluster
3x Grindstone";"20000x LMD
4x Specialist Chip
4x Oriron
3x Sugar";"120000x LMD
3x Specialist Dualchip
7x RMA70-24
16x Orirock Cluster";"140000x LMD
4x Specialist Chip
4x Oriron
3x Sugar
3x Specialist Dualchip
7x RMA70-24
16x Orirock Cluster";"42x Skill Summary - 3
8x Keton Colloid
3x Polyester Pack
3x White Horse Kohl
4x D32 Steel
9x Optimized Device
3x Oriron Cluster
3x Manganese Trihydrate
4x Polymerization Preparation
4x Polyester Lump";"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyketon
3x Device
8x Polyester Pack
48x Skill Summary - 3
5x Oriron Cluster
3x Grindstone
140000x LMD
4x Specialist Chip
4x Oriron
3x Sugar
3x Specialist Dualchip
7x RMA70-24
16x Orirock Cluster
8x Keton Colloid
3x White Horse Kohl
4x D32 Steel
9x Optimized Device
3x Manganese Trihydrate
4x Polymerization Preparation
4x Polyester Lump";"8x Skill Summary - 1
5x Oriron Shard
20000x LMD
4x Specialist Chip
4x Oriron
3x Sugar";"18x Skill Summary - 2
3x Polyketon
3x Device
8x Polyester Pack
48x Skill Summary - 3
5x Oriron Cluster
3x Grindstone
120000x LMD
3x Specialist Dualchip
7x RMA70-24
16x Orirock Cluster
8x Keton Colloid
3x White Horse Kohl
4x D32 Steel
9x Optimized Device
3x Manganese Trihydrate
4x Polymerization Preparation
4x Polyester Lump";149;173
Vulcan;13.64;5;1;3;0;0;0;"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyketon
3x Device
4x Aketon
6x Skill Summary - 3
2x Integrated Device
3x Sugar Pack";"20000x LMD
4x Defender Chip
4x Oriron
3x Polyester";"120000x LMD
3x Defender Dualchip
8x Orirock Concentration
15x Aketon";"140000x LMD
4x Defender Chip
4x Oriron
3x Polyester
3x Defender Dualchip
8x Orirock Concentration
15x Aketon";"42x Skill Summary - 3
9x White Horse Kohl
5x Aketon
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
6x RMA70-24
8x Manganese Trihydrate
2x Integrated Device
4x Polymerization Preparation
4x Sugar Lump";"8x Skill Summary - 1
5x Oriron Shard
18x Skill Summary - 2
3x Polyketon
3x Device
24x Aketon
48x Skill Summary - 3
4x Integrated Device
3x Sugar Pack
140000x LMD
4x Defender Chip
4x Oriron
3x Polyester
3x Defender Dualchip
8x Orirock Concentration
9x White Horse Kohl
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
6x RMA70-24
8x Manganese Trihydrate
4x Polymerization Preparation
4x Sugar Lump";"8x Skill Summary - 1
5x Oriron Shard
20000x LMD
4x Defender Chip
4x Oriron
3x Polyester";"18x Skill Summary - 2
3x Polyketon
3x Device
24x Aketon
48x Skill Summary - 3
4x Integrated Device
3x Sugar Pack
120000x LMD
3x Defender Dualchip
8x Orirock Concentration
9x White Horse Kohl
3x Grindstone Pentahydrate
4x Bipolar Nanoflake
6x RMA70-24
8x Manganese Trihydrate
4x Polymerization Preparation
4x Sugar Lump";152;176
Tuye;36.42;5;1;7;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
3x Grindstone
6x Skill Summary - 3
3x RMA70-12
2x Incandescent Alloy";"20000x LMD
4x Medic Chip
4x Polyketon
2x Device";"120000x LMD
3x Medic Dualchip
7x Keton Colloid
15x Loxic Kohl";"140000x LMD
4x Medic Chip
4x Polyketon
2x Device
3x Medic Dualchip
7x Keton Colloid
15x Loxic Kohl";"42x Skill Summary - 3
3x Keton Colloid
2x Coagulating Gel
3x Grindstone Pentahydrate
11x White Horse Kohl
4x Bipolar Nanoflake
8x Manganese Trihydrate
2x Optimized Device
3x Oriron Cluster
3x RMA70-24
4x Polymerization Preparation";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
3x Grindstone
48x Skill Summary - 3
3x RMA70-12
2x Incandescent Alloy
140000x LMD
4x Medic Chip
4x Polyketon
2x Device
3x Medic Dualchip
10x Keton Colloid
15x Loxic Kohl
2x Coagulating Gel
3x Grindstone Pentahydrate
11x White Horse Kohl
4x Bipolar Nanoflake
8x Manganese Trihydrate
2x Optimized Device
3x Oriron Cluster
3x RMA70-24
4x Polymerization Preparation";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
3x Grindstone
6x Skill Summary - 3
3x RMA70-12
2x Incandescent Alloy
20000x LMD
4x Medic Chip
4x Polyketon
2x Device";"42x Skill Summary - 3
120000x LMD
3x Medic Dualchip
10x Keton Colloid
15x Loxic Kohl
2x Coagulating Gel
3x Grindstone Pentahydrate
11x White Horse Kohl
4x Bipolar Nanoflake
8x Manganese Trihydrate
2x Optimized Device
3x Oriron Cluster
3x RMA70-24
4x Polymerization Preparation";110;173
Tsukinogi;12.07;5;1;3;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
3x Grindstone
6x Skill Summary - 3
3x Coagulating Gel
2x Oriron Cluster";"20000x LMD
4x Supporter Chip
3x Device
2x Polyketon";"120000x LMD
3x Supporter Dualchip
8x White Horse Kohl
12x Grindstone";"140000x LMD
4x Supporter Chip
3x Device
2x Polyketon
3x Supporter Dualchip
8x White Horse Kohl
12x Grindstone";"42x Skill Summary - 3
3x Keton Colloid
2x Coagulating Gel
8x Incandescent Alloy Block
5x RMA70-24
8x D32 Steel
8x White Horse Kohl
5x Aketon
3x Oriron Block
5x Orirock Concentration";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
15x Grindstone
48x Skill Summary - 3
5x Coagulating Gel
2x Oriron Cluster
140000x LMD
4x Supporter Chip
3x Device
2x Polyketon
3x Supporter Dualchip
16x White Horse Kohl
3x Keton Colloid
8x Incandescent Alloy Block
5x RMA70-24
8x D32 Steel
5x Aketon
3x Oriron Block
5x Orirock Concentration";"8x Skill Summary - 1
4x Damaged Device
20000x LMD
4x Supporter Chip
3x Device
2x Polyketon";"18x Skill Summary - 2
4x Orirock Cube
5x Sugar
15x Grindstone
48x Skill Summary - 3
5x Coagulating Gel
2x Oriron Cluster
120000x LMD
3x Supporter Dualchip
16x White Horse Kohl
3x Keton Colloid
8x Incandescent Alloy Block
5x RMA70-24
8x D32 Steel
5x Aketon
3x Oriron Block
5x Orirock Concentration";153;174
Tomimi;13.53;5;1;3;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
3x Polyketon
4x Oriron
3x RMA70-12
6x Skill Summary - 3
2x Integrated Device
3x Coagulating Gel";"20000x LMD
4x Caster Chip
4x Sugar
3x Polyester";"120000x LMD
3x Caster Dualchip
8x RMA70-24
14x Orirock Cluster";"140000x LMD
4x Caster Chip
4x Sugar
3x Polyester
3x Caster Dualchip
8x RMA70-24
14x Orirock Cluster";"42x Skill Summary - 3
3x Polymerized Gel
6x Orirock Cluster
3x Manganese Trihydrate
9x Optimized Device
4x Bipolar Nanoflake
3x RMA70-24
8x Oriron Block
1x Incandescent Alloy
4x D32 Steel";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
3x Polyketon
4x Oriron
3x RMA70-12
48x Skill Summary - 3
2x Integrated Device
3x Coagulating Gel
140000x LMD
4x Caster Chip
4x Sugar
3x Polyester
3x Caster Dualchip
11x RMA70-24
20x Orirock Cluster
3x Polymerized Gel
3x Manganese Trihydrate
9x Optimized Device
4x Bipolar Nanoflake
8x Oriron Block
1x Incandescent Alloy
4x D32 Steel";"8x Skill Summary - 1
4x Damaged Device
20000x LMD
4x Caster Chip
4x Sugar
3x Polyester";"18x Skill Summary - 2
3x Polyketon
4x Oriron
3x RMA70-12
48x Skill Summary - 3
2x Integrated Device
3x Coagulating Gel
120000x LMD
3x Caster Dualchip
11x RMA70-24
20x Orirock Cluster
3x Polymerized Gel
3x Manganese Trihydrate
9x Optimized Device
4x Bipolar Nanoflake
8x Oriron Block
1x Incandescent Alloy
4x D32 Steel";147;170
Toddifons;37.71;5;1;7;0;0;0;"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
4x Oriron Cluster
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl";"20000x LMD
4x Sniper Chip
4x Polyketon
3x Polyester";"120000x LMD
3x Sniper Dualchip
10x Crystalline Circuit
10x Incandescent Alloy";"140000x LMD
4x Sniper Chip
4x Polyketon
3x Polyester
3x Sniper Dualchip
10x Crystalline Circuit
10x Incandescent Alloy";"42x Skill Summary - 3
2x Optimized Device
3x Oriron Cluster
7x RMA70-24
5x Manganese Trihydrate
4x Bipolar Nanoflake
3x Keton Colloid
3x White Horse Kohl
5x Aketon
3x Crystalline Circuit
5x Polymerized Gel
4x Polymerization Preparation";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
7x Oriron Cluster
48x Skill Summary - 3
7x Aketon
4x Loxic Kohl
140000x LMD
4x Sniper Chip
4x Polyketon
3x Polyester
3x Sniper Dualchip
13x Crystalline Circuit
10x Incandescent Alloy
2x Optimized Device
7x RMA70-24
5x Manganese Trihydrate
4x Bipolar Nanoflake
3x Keton Colloid
3x White Horse Kohl
5x Polymerized Gel
4x Polymerization Preparation";"8x Skill Summary - 1
4x Damaged Device
18x Skill Summary - 2
4x Orirock Cube
5x Sugar
4x Oriron Cluster
6x Skill Summary - 3
2x Aketon
4x Loxic Kohl
20000x LMD
4x Sniper Chip
4x Polyketon
3x Polyester";"3x Oriron Cluster
42x Skill Summary - 3
5x Aketon
120000x LMD
3x Sniper Dualchip
13x Crystalline Circuit
10x Incandescent Alloy
2x Optimized Device
7x RMA70-24
5x Manganese Trihydrate
4x Bipolar Nanoflake
3x Keton Colloid
3x White Horse Kohl
5x Polymerized Gel
4x Polymerization Preparation";109;175
