name;stars;elite;skill_level;s1_mastery;s2_mastery;s3_mastery
Texas;5;2;7;0;0;0
Toddifons;5;1;7;0;0;0
Tomimi;5;1;3;0;0;0
Tsukinogi;5;1;3;0;0;0
Tuye;5;1;7;0;0;0
Vulcan;5;1;3;0;0;0
Waai Fu;5;1;3;0;0;0
Warfarin;5;1;7;0;0;0
Whislash;5;1;7;0;0;0
Whisperain;5;1;7;0;0;0
Zima;5;1;7;0;0;0
Aak;6;1;7;0;0;0
Angelina;6;2;7;2;0;0
Archetto;6;2;7;0;0;0
Ash;6;1;7;0;0;0
Bagpipe;6;2;7;0;0;3
Blaze;6;2;7;0;3;0
Blemishine;6;2;7;0;0;0
Carnelian;6;0;0;0;0;0
Ceobe;6;2;7;0;0;0
Ch'en;6;1;7;0;0;0
Ch'en the Holungday;6;0;0;0;0;0
Dusk;6;2;7;0;0;0
Eunectes;6;1;7;0;0;0
Exusiai;6;2;7;0;0;3
Eyjafjalla;6;2;7;0;3;3
Gladiia;6;1;7;0;0;0
Hellagur;6;1;7;0;0;0
Hoshiguma;6;2;7;0;3;0
Ifrit;6;2;7;0;3;0
Kal'tsit;6;1;7;0;0;0
Magallan;6;1;7;0;0;0
Mizuki;6;0;0;0;0;0
Mostima;6;1;7;0;0;0
Mountain;6;2;7;0;0;0
Mudrock;6;2;7;0;0;0
Nian;6;2;7;0;0;0
Nightingale;6;2;7;0;1;0
Pallas;6;0;0;0;0;0
Passenger;6;1;7;0;0;0
Phantom;6;2;7;0;0;0
Rosmontis;6;2;7;0;0;0
Saga;6;2;7;0;3;3
Saileach;6;0;0;0;0;0
Saria;6;2;7;3;3;3
Schwarz;6;2;7;0;0;0
Shining;6;2;7;0;1;0
Siege;6;1;7;0;0;0
SilverAsh;6;2;7;0;0;3
Skadi;6;2;7;0;0;0
Skadi the Corrupting Heart;6;1;7;0;0;0
Surtr;6;2;7;0;3;3
Suzuran;6;2;7;0;0;0
Thorns;6;2;7;0;0;2
W;6;2;7;0;0;0
Weedy;6;2;7;0;0;0
Ashlock;5;0;0;0;0;0
Fartooth;6;0;0;0;0;0
